fecha,vel_viento,presion_atmosferica,humedad_relativa,frentes_frios,radiacion_solar,luminosidad,contaminacion_atmosferica,cobertura_nubosa,temperatura
2018-01-26,45.0,1186.0,136.0,0,264.0,88.0,453.0,27.0,27.0
2018-01-27,51.0,1199.0,124.0,0,1208.0,60.0,415.0,64.0,34.0
2018-01-28,40.0,1241.0,93.0,1,366.0,24.0,92.0,72.0,21.0
2018-01-29,50.0,1158.0,38.0,0,593.0,100.0,368.0,77.0,30.0
2018-01-30,53.0,1307.0,109.0,0,973.0,93.0,89.0,53.0,18.0
2018-01-31,57.0,1324.0,68.0,0,1281.0,80.0,243.0,95.0,25.0
2018-02-01,56.0,1351.0,128.0,0,1980.0,6.0,238.0,50.0,37.0
2018-02-02,41.0,1267.0,62.0,1,326.0,38.0,196.0,67.0,13.0
2018-02-03,51.0,1297.0,148.0,1,1512.0,95.0,275.0,96.0,21.0
2018-02-04,45.0,1177.0,95.0,0,1146.0,0.0,173.0,47.0,39.0
2018-02-05,53.0,1227.0,61.0,1,657.0,85.0,175.0,74.0,13.0
2018-02-06,60.0,1219.0,93.0,0,1613.0,21.0,335.0,103.0,22.0
2018-02-07,52.0,1218.0,41.0,0,817.0,27.0,63.0,84.0,21.0
2018-02-08,50.0,1286.0,35.0,1,1286.0,70.0,163.0,32.0,15.0
2018-02-09,55.0,1309.0,95.0,1,435.0,25.0,210.0,46.0,10.0
2018-02-10,61.0,1239.0,113.0,0,598.0,55.0,213.0,12.0,19.0
2018-02-11,51.0,1265.0,90.0,0,1130.0,11.0,81.0,77.0,31.0
2018-02-12,54.0,1207.0,109.0,1,860.0,57.0,152.0,26.0,19.0
2018-02-13,51.0,1278.0,127.0,1,2016.0,32.0,314.0,68.0,34.0
2018-02-14,56.0,1415.0,44.0,0,874.0,87.0,152.0,42.0,23.0
2018-02-15,50.0,1207.0,34.0,0,806.0,44.0,375.0,37.0,35.0
2018-02-16,60.0,1159.0,146.0,0,1130.0,77.0,22.0,70.0,26.0
2018-02-17,49.0,1287.0,130.0,1,1609.0,30.0,353.0,5.0,28.0
2018-02-18,43.0,1379.0,38.0,1,1236.0,42.0,91.0,38.0,19.0
2018-02-19,47.0,1176.0,144.0,1,1164.0,67.0,326.0,54.0,30.0
2018-02-20,47.0,1291.0,114.0,1,1410.0,69.0,143.0,70.0,11.0
2018-02-21,56.0,1273.0,42.0,1,1558.0,14.0,20.0,55.0,7.0
2018-02-22,68.0,1192.0,121.0,1,304.0,12.0,91.0,81.0,24.0
2018-02-23,58.0,1234.0,33.0,0,1156.0,34.0,225.0,37.0,17.0
2018-02-24,52.0,1227.0,107.0,0,229.0,97.0,192.0,14.0,23.0
2018-02-25,59.0,1196.0,92.0,0,2016.0,40.0,277.0,50.0,19.0
2018-02-26,62.0,1323.0,34.0,0,1486.0,95.0,311.0,6.0,28.0
2018-02-27,53.0,1236.0,141.0,0,1772.0,23.0,160.0,53.0,43.0
2018-02-28,62.0,1333.0,103.0,0,1015.0,57.0,180.0,73.0,21.0
2018-03-01,46.0,1254.0,149.0,0,1525.0,9.0,396.0,39.0,32.0
2018-03-02,65.0,1191.0,119.0,0,1911.0,11.0,303.0,66.0,27.0
2018-03-03,48.0,1362.0,100.0,0,692.0,13.0,127.0,16.0,16.0
2018-03-04,52.0,1213.0,136.0,1,950.0,79.0,230.0,54.0,17.0
2018-03-05,40.0,1254.0,35.0,1,1500.0,76.0,384.0,73.0,25.0
2018-03-06,59.0,1335.0,67.0,0,1380.0,39.0,348.0,53.0,22.0
2018-03-07,61.0,1314.0,121.0,1,1259.0,25.0,156.0,35.0,27.0
2018-03-08,37.0,1268.0,147.0,0,1779.0,80.0,208.0,-16.0,22.0
2018-03-09,53.0,1282.0,152.0,0,420.0,57.0,464.0,59.0,24.0
2018-03-10,51.0,1264.0,114.0,1,1614.0,87.0,405.0,24.0,21.0
2018-03-11,53.0,1270.0,44.0,1,1970.0,76.0,193.0,21.0,32.0
2018-03-12,40.0,1247.0,88.0,0,1319.0,85.0,67.0,16.0,25.0
2018-03-13,64.0,1194.0,134.0,1,887.0,95.0,338.0,56.0,34.0
2018-03-14,50.0,1334.0,134.0,0,801.0,5.0,412.0,56.0,19.0
2018-03-15,48.0,1300.0,134.0,0,482.0,13.0,193.0,57.0,28.0
2018-03-16,49.0,1226.0,143.0,1,1055.0,76.0,30.0,38.0,22.0
2018-03-17,60.0,1279.0,59.0,0,1556.0,82.0,56.0,13.0,31.0
2018-03-18,60.0,1325.0,82.0,0,545.0,88.0,70.0,63.0,28.0
2018-03-19,43.0,1355.0,50.0,1,238.0,52.0,113.0,34.0,19.0
2018-03-20,48.0,1229.0,95.0,0,458.0,78.0,144.0,73.0,33.0
2018-03-21,60.0,1337.0,138.0,1,1155.0,77.0,423.0,35.0,49.0
2018-03-22,59.0,1179.0,146.0,0,1066.0,98.0,242.0,110.0,14.0
2018-03-23,45.0,1216.0,73.0,1,1529.0,43.0,297.0,65.0,18.0
2018-03-24,57.0,1186.0,62.0,0,1769.0,61.0,452.0,84.0,10.0
2018-03-25,59.0,1161.0,104.0,1,720.0,58.0,218.0,47.0,10.0
2018-03-26,43.0,1213.0,33.0,0,1540.0,48.0,321.0,65.0,14.0
2018-03-27,56.0,1303.0,124.0,1,2003.0,74.0,369.0,89.0,31.0
2018-03-28,60.0,1230.0,135.0,0,596.0,6.0,410.0,108.0,28.0
2018-03-29,56.0,1203.0,39.0,0,1974.0,88.0,324.0,34.0,33.0
2018-03-30,51.0,1226.0,108.0,0,2094.0,95.0,201.0,21.0,27.0
2018-03-31,58.0,1215.0,69.0,1,985.0,62.0,276.0,55.0,18.0
2018-04-01,42.0,1260.0,126.0,0,2044.0,43.0,27.0,23.0,35.0
2018-04-02,62.0,1209.0,79.0,0,1385.0,28.0,336.0,61.0,36.0
2018-04-03,38.0,1360.0,66.0,0,575.0,98.0,336.0,39.0,32.0
2018-04-04,47.0,1260.0,70.0,1,1014.0,92.0,60.0,75.0,33.0
2018-04-05,55.0,1199.0,145.0,1,453.0,35.0,202.0,39.0,25.0
2018-04-06,42.0,1270.0,81.0,0,358.0,82.0,156.0,73.0,25.0
2018-04-07,36.0,1345.0,100.0,0,661.0,40.0,58.0,111.0,41.0
2018-04-08,37.0,1319.0,61.0,0,1827.0,77.0,306.0,7.0,29.0
2018-04-09,39.0,1366.0,98.0,1,891.0,21.0,247.0,69.0,33.0
2018-04-10,41.0,1329.0,127.0,0,852.0,5.0,23.0,73.0,38.0
2018-04-11,46.0,1334.0,68.0,1,1043.0,58.0,409.0,27.0,32.0
2018-04-12,46.0,1321.0,120.0,0,1284.0,44.0,72.0,58.0,28.0
2018-04-13,50.0,1238.0,83.0,1,1487.0,13.0,173.0,71.0,20.0
2018-04-14,48.0,1242.0,107.0,0,1433.0,96.0,102.0,32.0,31.0
2018-04-15,34.0,1385.0,35.0,1,856.0,42.0,254.0,52.0,37.0
2018-04-16,53.0,1262.0,122.0,1,1654.0,47.0,42.0,54.0,37.0
2018-04-17,40.0,1321.0,102.0,0,368.0,26.0,170.0,21.0,33.0
2018-04-18,34.0,1140.0,60.0,1,1727.0,10.0,211.0,42.0,21.0
2018-04-19,48.0,1206.0,66.0,0,1155.0,66.0,221.0,90.0,36.0
2018-04-20,44.0,1238.0,108.0,0,289.0,47.0,330.0,30.0,37.0
2018-04-21,41.0,1234.0,112.0,1,963.0,86.0,258.0,36.0,19.0
2018-04-22,41.0,1328.0,58.0,1,1760.0,3.0,41.0,68.0,20.0
2018-04-23,51.0,1328.0,34.0,0,725.0,28.0,88.0,32.0,35.0
2018-04-24,45.0,1172.0,112.0,1,551.0,89.0,441.0,63.0,26.0
2018-04-25,44.0,1188.0,66.0,0,1282.0,84.0,465.0,75.0,38.0
2018-04-26,47.0,1299.0,101.0,0,778.0,91.0,75.0,17.0,19.0
2018-04-27,36.0,1224.0,35.0,0,1808.0,55.0,28.0,75.0,32.0
2018-04-28,46.0,1234.0,87.0,0,2080.0,74.0,196.0,62.0,42.0
2018-04-29,43.0,1250.0,97.0,0,1052.0,69.0,208.0,75.0,23.0
2018-04-30,51.0,1217.0,146.0,0,628.0,26.0,251.0,83.0,17.0
2018-05-01,46.0,1282.0,146.0,1,1968.0,11.0,230.0,68.0,23.0
2018-05-02,58.0,1322.0,44.0,1,572.0,17.0,121.0,42.0,31.0
2018-05-03,49.0,1335.0,99.0,0,1276.0,10.0,83.0,71.0,34.0
2018-05-04,46.0,1348.0,151.0,0,1808.0,84.0,466.0,36.0,42.0
2018-05-05,41.0,1369.0,51.0,0,992.0,83.0,437.0,59.0,34.0
2018-05-06,37.0,1212.0,114.0,0,381.0,43.0,383.0,56.0,25.0
2018-05-07,38.0,1184.0,75.0,0,1654.0,49.0,16.0,54.0,27.0
2018-05-08,57.0,1295.0,55.0,0,1485.0,69.0,33.0,23.0,27.0
2018-05-09,49.0,1220.0,110.0,0,603.0,22.0,110.0,22.0,39.0
2018-05-10,42.0,1288.0,150.0,0,668.0,12.0,253.0,60.0,29.0
2018-05-11,54.0,1329.0,30.0,0,315.0,79.0,327.0,48.0,34.0
2018-05-12,31.0,1195.0,95.0,0,1547.0,72.0,121.0,76.0,38.0
2018-05-13,39.0,1219.0,142.0,1,1612.0,2.0,176.0,62.0,16.0
2018-05-14,44.0,1198.0,36.0,1,846.0,93.0,248.0,6.0,24.0
2018-05-15,27.0,1257.0,104.0,1,2027.0,1.0,86.0,21.0,34.0
2018-05-16,56.0,1249.0,124.0,1,2037.0,19.0,419.0,56.0,35.0
2018-05-17,55.0,1202.0,105.0,1,648.0,50.0,322.0,10.0,26.0
2018-05-18,41.0,1427.0,90.0,0,2058.0,39.0,301.0,89.0,22.0
2018-05-19,45.0,1266.0,46.0,0,1788.0,25.0,289.0,82.0,30.0
2018-05-20,44.0,1249.0,84.0,1,264.0,36.0,233.0,52.0,19.0
2018-05-21,54.0,1258.0,64.0,1,365.0,96.0,263.0,35.0,20.0
2018-05-22,51.0,1193.0,116.0,1,1924.0,8.0,110.0,86.0,19.0
2018-05-23,45.0,1088.0,37.0,1,724.0,26.0,299.0,72.0,17.0
2018-05-24,62.0,1217.0,144.0,1,283.0,29.0,296.0,56.0,25.0
2018-05-25,38.0,1200.0,135.0,0,2050.0,85.0,235.0,79.0,24.0
2018-05-26,42.0,1275.0,77.0,1,2078.0,31.0,456.0,76.0,26.0
2018-05-27,49.0,1280.0,144.0,1,867.0,84.0,348.0,46.0,37.0
2018-05-28,48.0,1251.0,140.0,0,377.0,83.0,12.0,90.0,27.0
2018-05-29,50.0,1270.0,68.0,1,1580.0,94.0,166.0,67.0,12.0
2018-05-30,45.0,1232.0,114.0,1,1314.0,54.0,458.0,75.0,49.0
2018-05-31,53.0,1186.0,112.0,1,464.0,100.0,173.0,83.0,20.0
2018-06-01,52.0,1183.0,133.0,1,473.0,35.0,423.0,87.0,31.0
2018-06-02,52.0,1437.0,134.0,0,2025.0,23.0,421.0,51.0,35.0
2018-06-03,47.0,1297.0,88.0,0,359.0,76.0,1.0,74.0,15.0
2018-06-04,53.0,1344.0,104.0,0,2017.0,53.0,110.0,79.0,32.0
2018-06-05,41.0,1209.0,78.0,1,1493.0,17.0,409.0,93.0,19.0
2018-06-06,56.0,1298.0,77.0,0,386.0,73.0,428.0,67.0,30.0
2018-06-07,48.0,1391.0,64.0,0,1494.0,69.0,453.0,50.0,33.0
2018-06-08,50.0,1192.0,82.0,0,626.0,1.0,56.0,57.0,38.0
2018-06-09,35.0,1215.0,95.0,0,631.0,37.0,382.0,79.0,26.0
2018-06-10,35.0,1247.0,93.0,1,1212.0,93.0,280.0,52.0,20.0
2018-06-11,36.0,1302.0,150.0,0,1081.0,93.0,335.0,50.0,48.0
2018-06-12,55.0,1237.0,139.0,0,1871.0,47.0,42.0,75.0,34.0
2018-06-13,42.0,1211.0,126.0,0,945.0,41.0,349.0,52.0,38.0
2018-06-14,39.0,1219.0,52.0,1,1918.0,35.0,466.0,57.0,22.0
2018-06-15,46.0,1309.0,71.0,1,1049.0,93.0,319.0,48.0,41.0
2018-06-16,27.0,1389.0,129.0,1,1808.0,53.0,199.0,53.0,22.0
2018-06-17,64.0,1306.0,128.0,0,770.0,33.0,91.0,36.0,31.0
2018-06-18,56.0,1210.0,72.0,1,995.0,0.0,360.0,76.0,27.0
2018-06-19,45.0,1170.0,71.0,1,1614.0,45.0,369.0,43.0,20.0
2018-06-20,43.0,1160.0,100.0,1,1995.0,36.0,102.0,42.0,25.0
2018-06-21,49.0,1281.0,97.0,1,517.0,40.0,445.0,25.0,28.0
2018-06-22,48.0,1244.0,85.0,0,255.0,83.0,57.0,50.0,40.0
2018-06-23,47.0,1235.0,139.0,0,1568.0,54.0,100.0,56.0,32.0
2018-06-24,44.0,1186.0,35.0,0,855.0,36.0,235.0,89.0,33.0
2018-06-25,49.0,1248.0,69.0,0,848.0,17.0,171.0,55.0,33.0
2018-06-26,47.0,1168.0,93.0,0,1069.0,82.0,103.0,67.0,31.0
2018-06-27,42.0,1309.0,111.0,1,992.0,55.0,228.0,86.0,36.0
2018-06-28,41.0,1277.0,58.0,0,1775.0,92.0,279.0,26.0,19.0
2018-06-29,53.0,1249.0,111.0,0,879.0,8.0,110.0,89.0,35.0
2018-06-30,46.0,1243.0,88.0,1,554.0,65.0,418.0,25.0,34.0
2018-07-01,45.0,1238.0,119.0,1,442.0,33.0,233.0,69.0,38.0
2018-07-02,39.0,1201.0,56.0,1,1912.0,72.0,379.0,48.0,33.0
2018-07-03,42.0,1353.0,132.0,0,327.0,80.0,351.0,78.0,42.0
2018-07-04,44.0,1335.0,129.0,0,2039.0,50.0,452.0,51.0,27.0
2018-07-05,43.0,1202.0,56.0,0,935.0,74.0,342.0,60.0,28.0
2018-07-06,47.0,1272.0,76.0,1,472.0,64.0,284.0,18.0,23.0
2018-07-07,46.0,1227.0,38.0,1,1387.0,71.0,311.0,106.0,19.0
2018-07-08,44.0,1226.0,151.0,1,677.0,72.0,37.0,92.0,25.0
2018-07-09,43.0,1295.0,92.0,1,772.0,1.0,239.0,69.0,19.0
2018-07-10,44.0,1312.0,58.0,0,1228.0,13.0,202.0,81.0,7.0
2018-07-11,52.0,1274.0,109.0,1,1223.0,20.0,224.0,55.0,30.0
2018-07-12,44.0,1281.0,138.0,1,1326.0,20.0,229.0,60.0,23.0
2018-07-13,58.0,1155.0,141.0,0,1699.0,44.0,69.0,19.0,26.0
2018-07-14,53.0,1240.0,118.0,1,694.0,0.0,446.0,54.0,21.0
2018-07-15,38.0,1251.0,44.0,0,677.0,85.0,363.0,62.0,31.0
2018-07-16,38.0,1229.0,53.0,0,1081.0,25.0,168.0,121.0,37.0
2018-07-17,60.0,1403.0,148.0,1,1491.0,47.0,44.0,25.0,27.0
2018-07-18,38.0,1263.0,32.0,1,1723.0,58.0,86.0,40.0,25.0
2018-07-19,29.0,1150.0,144.0,1,340.0,40.0,329.0,46.0,20.0
2018-07-20,52.0,1207.0,121.0,0,436.0,35.0,446.0,88.0,36.0
2018-07-21,60.0,1212.0,112.0,1,1137.0,27.0,227.0,33.0,35.0
2018-07-22,43.0,1245.0,88.0,1,975.0,47.0,225.0,20.0,18.0
2018-07-23,47.0,1178.0,44.0,1,1597.0,98.0,441.0,77.0,38.0
2018-07-24,42.0,1340.0,139.0,1,1630.0,67.0,142.0,56.0,20.0
2018-07-25,52.0,1244.0,92.0,1,735.0,60.0,163.0,45.0,23.0
2018-07-26,53.0,1323.0,85.0,1,667.0,91.0,401.0,84.0,31.0
2018-07-27,22.0,1238.0,137.0,0,1722.0,48.0,239.0,33.0,31.0
2018-07-28,49.0,1268.0,141.0,0,1900.0,16.0,70.0,53.0,27.0
2018-07-29,38.0,1171.0,65.0,0,1387.0,44.0,417.0,47.0,30.0
2018-07-30,53.0,1417.0,143.0,1,1896.0,25.0,307.0,51.0,45.0
2018-07-31,36.0,1295.0,128.0,0,954.0,38.0,359.0,38.0,32.0
2018-08-01,47.0,1188.0,38.0,1,1928.0,32.0,22.0,13.0,17.0
2018-08-02,44.0,1267.0,151.0,1,1422.0,31.0,161.0,17.0,8.0
2018-08-03,40.0,1110.0,118.0,1,1912.0,24.0,131.0,93.0,25.0
2018-08-04,35.0,1194.0,138.0,1,1155.0,25.0,328.0,30.0,24.0
2018-08-05,35.0,1267.0,91.0,0,1732.0,96.0,268.0,34.0,33.0
2018-08-06,42.0,1340.0,116.0,1,1938.0,7.0,457.0,27.0,21.0
2018-08-07,40.0,1277.0,77.0,1,984.0,88.0,430.0,48.0,27.0
2018-08-08,58.0,1272.0,82.0,0,822.0,52.0,452.0,55.0,28.0
2018-08-09,44.0,1434.0,128.0,0,1945.0,74.0,200.0,71.0,37.0
2018-08-10,49.0,1329.0,122.0,1,1648.0,93.0,437.0,108.0,28.0
2018-08-11,38.0,1303.0,148.0,0,1954.0,86.0,213.0,80.0,32.0
2018-08-12,38.0,1193.0,120.0,0,883.0,65.0,449.0,45.0,31.0
2018-08-13,40.0,1225.0,147.0,1,474.0,46.0,180.0,37.0,22.0
2018-08-14,47.0,1248.0,36.0,1,396.0,21.0,402.0,51.0,30.0
2018-08-15,41.0,1173.0,36.0,1,1370.0,76.0,188.0,85.0,27.0
2018-08-16,39.0,1262.0,117.0,1,1163.0,43.0,288.0,75.0,25.0
2018-08-17,48.0,1236.0,42.0,0,1447.0,99.0,167.0,115.0,30.0
2018-08-18,40.0,1223.0,55.0,0,1922.0,92.0,54.0,50.0,32.0
2018-08-19,41.0,1278.0,121.0,0,792.0,37.0,232.0,42.0,34.0
2018-08-20,36.0,1194.0,85.0,0,1924.0,61.0,139.0,40.0,30.0
2018-08-21,41.0,1199.0,102.0,0,1278.0,25.0,208.0,54.0,38.0
2018-08-22,40.0,1242.0,139.0,0,1193.0,77.0,396.0,66.0,41.0
2018-08-23,38.0,1242.0,132.0,0,1731.0,2.0,337.0,57.0,29.0
2018-08-24,47.0,1312.0,121.0,1,1581.0,29.0,114.0,65.0,17.0
2018-08-25,42.0,1247.0,40.0,1,2095.0,58.0,17.0,70.0,23.0
2018-08-26,47.0,1329.0,86.0,1,843.0,57.0,401.0,38.0,27.0
2018-08-27,54.0,1298.0,120.0,0,1692.0,95.0,185.0,85.0,29.0
2018-08-28,52.0,1255.0,119.0,1,2071.0,70.0,45.0,68.0,35.0
2018-08-29,32.0,1132.0,52.0,1,1617.0,36.0,403.0,73.0,14.0
2018-08-30,46.0,1267.0,114.0,1,1091.0,93.0,118.0,84.0,23.0
2018-08-31,40.0,1248.0,51.0,0,1644.0,52.0,236.0,70.0,28.0
2018-09-01,44.0,1210.0,93.0,1,461.0,60.0,246.0,66.0,24.0
2018-09-02,52.0,1278.0,74.0,1,217.0,13.0,141.0,68.0,25.0
2018-09-03,47.0,1045.0,89.0,1,675.0,60.0,69.0,47.0,31.0
2018-09-04,44.0,1328.0,58.0,0,2008.0,60.0,381.0,99.0,40.0
2018-09-05,44.0,1126.0,47.0,0,1955.0,1.0,248.0,36.0,21.0
2018-09-06,45.0,1296.0,92.0,1,1074.0,80.0,327.0,83.0,22.0
2018-09-07,35.0,1311.0,99.0,1,1564.0,67.0,397.0,63.0,18.0
2018-09-08,44.0,1237.0,139.0,1,1025.0,100.0,9.0,52.0,24.0
2018-09-09,53.0,1260.0,139.0,1,2054.0,100.0,266.0,81.0,31.0
2018-09-10,40.0,1273.0,32.0,0,1248.0,35.0,335.0,60.0,22.0
2018-09-11,45.0,1148.0,56.0,1,489.0,21.0,250.0,69.0,17.0
2018-09-12,53.0,1332.0,136.0,1,1807.0,35.0,451.0,53.0,31.0
2018-09-13,59.0,1295.0,34.0,0,574.0,9.0,265.0,69.0,27.0
2018-09-14,30.0,1249.0,70.0,1,1235.0,87.0,52.0,37.0,20.0
2018-09-15,42.0,1169.0,45.0,1,1689.0,97.0,44.0,94.0,32.0
2018-09-16,38.0,1270.0,52.0,0,2099.0,79.0,16.0,24.0,32.0
2018-09-17,40.0,1261.0,94.0,1,564.0,8.0,396.0,45.0,36.0
2018-09-18,54.0,1246.0,40.0,0,2023.0,56.0,272.0,85.0,36.0
2018-09-19,45.0,1226.0,147.0,0,822.0,45.0,273.0,43.0,30.0
2018-09-20,44.0,991.0,95.0,1,240.0,41.0,30.0,71.0,15.0
2018-09-21,38.0,1250.0,136.0,1,1103.0,57.0,173.0,18.0,15.0
2018-09-22,54.0,1149.0,141.0,1,440.0,15.0,419.0,5.0,31.0
2018-09-23,41.0,1288.0,32.0,0,433.0,28.0,85.0,69.0,11.0
2018-09-24,43.0,1266.0,91.0,1,764.0,97.0,98.0,29.0,25.0
2018-09-25,48.0,1295.0,40.0,1,365.0,46.0,72.0,42.0,20.0
2018-09-26,42.0,1243.0,121.0,1,366.0,22.0,40.0,29.0,27.0
2018-09-27,46.0,1261.0,120.0,0,1405.0,15.0,282.0,57.0,21.0
2018-09-28,44.0,1274.0,73.0,1,313.0,12.0,459.0,44.0,24.0
2018-09-29,43.0,1312.0,55.0,0,2017.0,24.0,307.0,8.0,33.0
2018-09-30,36.0,1332.0,74.0,0,1277.0,87.0,414.0,90.0,38.0
2018-10-01,52.0,1096.0,104.0,1,406.0,94.0,196.0,30.0,23.0
2018-10-02,73.0,1219.0,31.0,1,701.0,45.0,180.0,72.0,10.0
2018-10-03,48.0,1173.0,115.0,0,709.0,50.0,297.0,73.0,24.0
2018-10-04,50.0,1385.0,71.0,0,666.0,7.0,364.0,73.0,32.0
2018-10-05,54.0,1264.0,55.0,1,1409.0,4.0,409.0,85.0,15.0
2018-10-06,51.0,1302.0,147.0,0,1395.0,68.0,310.0,47.0,40.0
2018-10-07,48.0,1380.0,42.0,0,498.0,2.0,275.0,53.0,24.0
2018-10-08,50.0,1285.0,100.0,0,1016.0,62.0,152.0,50.0,27.0
2018-10-09,45.0,1206.0,65.0,1,1665.0,12.0,170.0,38.0,24.0
2018-10-10,56.0,1309.0,81.0,0,2090.0,79.0,440.0,50.0,38.0
2018-10-11,42.0,1328.0,137.0,1,956.0,60.0,275.0,33.0,25.0
2018-10-12,54.0,1278.0,132.0,0,1295.0,25.0,459.0,68.0,25.0
2018-10-13,48.0,1326.0,48.0,1,477.0,3.0,202.0,-10.0,25.0
2018-10-14,57.0,1237.0,145.0,0,923.0,61.0,345.0,101.0,12.0
2018-10-15,53.0,1153.0,41.0,0,1906.0,61.0,96.0,100.0,22.0
2018-10-16,53.0,1237.0,67.0,1,1373.0,100.0,334.0,55.0,18.0
2018-10-17,44.0,1461.0,51.0,0,913.0,73.0,108.0,60.0,41.0
2018-10-18,61.0,1216.0,107.0,1,1978.0,39.0,293.0,37.0,18.0
2018-10-19,53.0,1263.0,78.0,0,1075.0,25.0,103.0,41.0,28.0
2018-10-20,45.0,1249.0,49.0,0,702.0,62.0,197.0,59.0,26.0
2018-10-21,49.0,1272.0,84.0,1,1132.0,11.0,301.0,87.0,11.0
2018-10-22,34.0,1221.0,33.0,0,212.0,5.0,155.0,81.0,21.0
2018-10-23,54.0,1086.0,129.0,1,1638.0,51.0,306.0,107.0,14.0
2018-10-24,54.0,1354.0,49.0,1,488.0,34.0,113.0,24.0,19.0
2018-10-25,55.0,1247.0,60.0,1,636.0,18.0,27.0,32.0,16.0
2018-10-26,31.0,1310.0,33.0,0,1086.0,28.0,29.0,93.0,27.0
2018-10-27,32.0,1156.0,148.0,0,345.0,63.0,203.0,24.0,18.0
2018-10-28,60.0,1321.0,145.0,1,1711.0,76.0,410.0,67.0,33.0
2018-10-29,59.0,1245.0,107.0,1,1932.0,26.0,382.0,32.0,14.0
2018-10-30,51.0,1327.0,104.0,1,1133.0,71.0,24.0,-9.0,7.0
2018-10-31,45.0,1217.0,127.0,0,1894.0,51.0,352.0,92.0,22.0
2018-11-01,50.0,1301.0,150.0,0,891.0,58.0,29.0,73.0,28.0
2018-11-02,68.0,1179.0,53.0,1,1793.0,50.0,318.0,52.0,32.0
2018-11-03,50.0,1259.0,107.0,1,1245.0,9.0,398.0,58.0,23.0
2018-11-04,53.0,1083.0,103.0,1,1151.0,30.0,78.0,67.0,5.0
2018-11-05,52.0,1256.0,72.0,0,1002.0,20.0,208.0,50.0,27.0
2018-11-06,40.0,1248.0,57.0,0,478.0,11.0,440.0,58.0,41.0
2018-11-07,53.0,1432.0,127.0,0,537.0,46.0,311.0,22.0,34.0
2018-11-08,66.0,1199.0,33.0,1,464.0,12.0,446.0,66.0,31.0
2018-11-09,44.0,1260.0,130.0,1,1354.0,13.0,344.0,62.0,19.0
2018-11-10,52.0,1250.0,141.0,0,674.0,18.0,101.0,25.0,27.0
2018-11-11,58.0,1214.0,63.0,1,1395.0,3.0,391.0,72.0,-1.0
2018-11-12,41.0,1269.0,130.0,0,2085.0,34.0,28.0,23.0,28.0
2018-11-13,59.0,1249.0,139.0,0,1971.0,8.0,261.0,89.0,16.0
2018-11-14,56.0,1388.0,142.0,1,423.0,44.0,187.0,70.0,15.0
2018-11-15,45.0,1228.0,33.0,0,260.0,62.0,66.0,104.0,18.0
2018-11-16,51.0,1214.0,134.0,1,1807.0,16.0,175.0,52.0,23.0
2018-11-17,65.0,1288.0,49.0,0,413.0,31.0,313.0,80.0,23.0
2018-11-18,45.0,1404.0,107.0,1,1858.0,61.0,202.0,70.0,21.0
2018-11-19,44.0,1141.0,142.0,1,1401.0,44.0,233.0,64.0,35.0
2018-11-20,61.0,1179.0,34.0,1,1348.0,10.0,457.0,78.0,11.0
2018-11-21,44.0,1241.0,144.0,1,319.0,3.0,71.0,57.0,22.0
