Tipo_Prenda,Genero,Color,Estilo,Marca,Precio,Talla,Cantidad_Lavados,Edad,Profesion,Genero_Incluyente,Calidad
Vestido,Dama,Verde,Deportivo,Marca B,767.99,44,0,20,Ciencias Sociales y Humanidades,Mujer,Mala
Camisa,Caballero,Rojo,Deportivo,Marca C,1289.84,36,3,66,Ingeniería,HombreMujer,Buena
Vestido,Dama,Negro,Casual,Marca A,922.29,44,19,27,Ingeniería,HombreMujer,Mala
Falda,Dama,Verde,Casual,Marca D,1426.62,38,28,66,Ingeniería,HombreMujer,Mala
Pantalón,Dama,Rojo,Deportivo,Marca D,1500.65,42,8,67,Medicina,Mujer,Mala
Falda,Dama,Rojo,Casual,Marca C,1889.03,42,25,43,Educación,Hombre,Mala
Chaqueta,Caballero,Rojo,Formal,Marca C,1661.93,45,9,49,Ciencias Sociales y Humanidades,Hombre,Buena
Pantalón,Dama,Blanco,Formal,Marca C,1895.64,42,14,66,Artes,HombreMujer,Regular
Vestido,Dama,Blanco,Casual,Marca D,1591.15,29,37,55,Ciencias Sociales y Humanidades,HombreMujer,Regular
Pantalón,Caballero,Blanco,Deportivo,Marca C,1575.43,46,9,50,Medicina,Hombre,Regular
Vestido,Dama,Verde,Formal,Marca D,995.44,37,40,48,Medicina,Mujer,Buena
Vestido,Caballero,Verde,Deportivo,Marca B,904.23,35,43,33,Ingeniería,HombreMujer,Mala
Pantalón,Dama,Blanco,Casual,Marca D,1557.99,44,28,20,Artes,HombreMujer,Buena
Camisa,Caballero,Amarillo,Formal,Marca C,744.59,40,32,38,Ingeniería,Hombre,Buena
Chaqueta,Caballero,Negro,Casual,Marca C,1860.8,28,14,46,Medicina,Mujer,Mala
Otros,Caballero,Verde,Deportivo,Marca B,1737.87,32,20,38,Medicina,Hombre,Mala
Camisa,Caballero,Blanco,Deportivo,Marca D,1106.12,36,8,57,Artes,HombreMujer,Regular
Falda,Caballero,Blanco,Deportivo,Marca A,1300.71,43,13,22,Ingeniería,Hombre,Regular
Otros,Caballero,Rojo,Casual,Marca A,1470.81,32,34,64,Medicina,HombreMujer,Buena
Pantalón,Caballero,Blanco,Deportivo,Marca C,606.73,35,22,33,Educación,HombreMujer,Buena
Vestido,Caballero,Blanco,Casual,Marca D,1074.95,37,13,54,Ciencias Sociales y Humanidades,Mujer,Mala
Otros,Caballero,Azul,Casual,Marca A,1743.6,40,35,30,Medicina,Mujer,Regular
Camisa,Dama,Negro,Formal,Marca D,974.68,31,33,28,Educación,Hombre,Regular
Pantalón,Caballero,Verde,Formal,Marca D,1448.61,33,49,22,Medicina,Hombre,Regular
Otros,Caballero,Negro,Formal,Marca C,1623.36,42,22,29,Artes,Hombre,Mala
Falda,Caballero,Azul,Casual,Marca C,1956.69,44,37,53,Educación,HombreMujer,Regular
Camisa,Dama,Amarillo,Deportivo,Marca B,706.77,46,9,33,Artes,Mujer,Mala
Pantalón,Dama,Amarillo,Deportivo,Marca B,669.57,29,47,36,Ingeniería,HombreMujer,Regular
Otros,Dama,Rojo,Deportivo,Marca D,998.69,34,6,19,Artes,HombreMujer,Buena
Pantalón,Caballero,Verde,Casual,Marca D,630.06,44,11,59,Educación,HombreMujer,Mala
Vestido,Caballero,Azul,Deportivo,Marca C,562.97,30,10,65,Ingeniería,HombreMujer,Regular
Falda,Dama,Negro,Casual,Marca C,963.12,44,37,56,Ciencias Sociales y Humanidades,HombreMujer,Buena
Otros,Dama,Negro,Formal,Marca D,1856.78,28,41,25,Educación,HombreMujer,Mala
Chaqueta,Caballero,Rojo,Formal,Marca A,985.74,28,40,32,Artes,Mujer,Regular
Pantalón,Caballero,Amarillo,Casual,Marca A,902.18,38,3,50,Ingeniería,Mujer,Mala
Pantalón,Dama,Verde,Formal,Marca D,1708.09,44,31,30,Educación,Hombre,Buena
Otros,Dama,Negro,Deportivo,Marca A,1899.89,36,45,63,Medicina,Hombre,Regular
Vestido,Dama,Amarillo,Formal,Marca B,930.49,43,38,31,Medicina,Hombre,Regular
Otros,Dama,Verde,Formal,Marca C,1938.18,36,35,32,Artes,HombreMujer,Regular
Chaqueta,Dama,Rojo,Deportivo,Marca D,1483.82,31,28,42,Artes,Hombre,Regular
Camisa,Dama,Blanco,Formal,Marca D,1662.49,39,4,55,Ciencias Sociales y Humanidades,HombreMujer,Buena
Otros,Dama,Azul,Casual,Marca D,1733.82,43,48,40,Ingeniería,Hombre,Regular
Chaqueta,Caballero,Negro,Formal,Marca C,1146.45,46,1,55,Ingeniería,Mujer,Mala
Otros,Dama,Azul,Formal,Marca A,1307.68,44,19,21,Ciencias Sociales y Humanidades,HombreMujer,Regular
Chaqueta,Dama,Negro,Formal,Marca D,1840.91,29,2,27,Medicina,Mujer,Regular
Vestido,Dama,Amarillo,Formal,Marca A,1887.09,46,37,40,Artes,Hombre,Buena
Pantalón,Caballero,Azul,Casual,Marca A,1458.05,30,14,43,Artes,Mujer,Regular
Falda,Dama,Rojo,Deportivo,Marca C,673.45,31,35,20,Medicina,Mujer,Mala
Otros,Dama,Rojo,Deportivo,Marca D,1660.08,29,44,69,Ciencias Sociales y Humanidades,Mujer,Regular
Vestido,Caballero,Amarillo,Casual,Marca D,1343.43,41,49,60,Educación,Mujer,Mala
Camisa,Dama,Rojo,Formal,Marca A,1002.79,45,31,22,Artes,Mujer,Mala
Vestido,Dama,Negro,Deportivo,Marca A,1218.25,29,8,44,Ciencias Sociales y Humanidades,Mujer,Regular
Pantalón,Dama,Amarillo,Casual,Marca D,896.35,34,5,57,Ciencias Sociales y Humanidades,Mujer,Buena
Chaqueta,Caballero,Blanco,Formal,Marca A,1955.66,43,47,59,Artes,Mujer,Buena
Otros,Caballero,Negro,Casual,Marca B,1455.91,37,24,24,Ciencias Sociales y Humanidades,HombreMujer,Buena
Vestido,Caballero,Rojo,Formal,Marca A,1863.31,42,19,33,Educación,HombreMujer,Mala
Otros,Caballero,Amarillo,Casual,Marca A,1853.36,32,49,68,Ciencias Sociales y Humanidades,Hombre,Buena
Camisa,Caballero,Amarillo,Deportivo,Marca D,1636.63,36,12,21,Medicina,Hombre,Regular
Otros,Caballero,Verde,Casual,Marca C,1064.96,42,25,70,Educación,HombreMujer,Buena
Vestido,Caballero,Azul,Casual,Marca B,1066.3,37,37,70,Medicina,HombreMujer,Mala
Pantalón,Dama,Rojo,Casual,Marca C,1002.69,37,21,54,Artes,Hombre,Regular
Chaqueta,Caballero,Negro,Formal,Marca B,801.88,31,7,38,Artes,HombreMujer,Buena
Vestido,Caballero,Blanco,Formal,Marca C,1171.5,28,50,19,Educación,HombreMujer,Buena
Otros,Dama,Blanco,Formal,Marca C,1779.63,34,20,69,Ingeniería,HombreMujer,Regular
Camisa,Dama,Azul,Casual,Marca B,1229.22,40,15,33,Educación,Hombre,Buena
Pantalón,Caballero,Amarillo,Casual,Marca C,1494.52,39,22,64,Ciencias Sociales y Humanidades,Mujer,Buena
Vestido,Caballero,Azul,Deportivo,Marca D,951.05,30,21,30,Ciencias Sociales y Humanidades,Mujer,Buena
Vestido,Caballero,Amarillo,Casual,Marca D,1373.37,42,33,50,Educación,HombreMujer,Regular
Otros,Caballero,Amarillo,Formal,Marca A,1705.17,39,8,56,Ingeniería,HombreMujer,Mala
Otros,Caballero,Amarillo,Deportivo,Marca C,598.9,43,18,70,Artes,Mujer,Regular
Otros,Dama,Negro,Deportivo,Marca A,614.58,39,43,24,Ciencias Sociales y Humanidades,Hombre,Buena
Pantalón,Caballero,Negro,Formal,Marca B,1249.84,36,6,24,Ingeniería,Mujer,Mala
Otros,Caballero,Blanco,Casual,Marca B,1202.46,38,16,63,Educación,Hombre,Regular
Falda,Caballero,Azul,Casual,Marca B,1857.3,33,9,49,Educación,Hombre,Mala
Chaqueta,Caballero,Verde,Casual,Marca B,1462.97,35,4,39,Artes,Mujer,Mala
Otros,Caballero,Amarillo,Casual,Marca C,620.73,41,24,31,Medicina,Mujer,Buena
Camisa,Caballero,Blanco,Formal,Marca A,733.41,37,22,45,Educación,HombreMujer,Regular
Camisa,Caballero,Rojo,Casual,Marca C,798.06,29,28,56,Medicina,Mujer,Mala
Chaqueta,Caballero,Azul,Deportivo,Marca B,1759.52,44,2,63,Educación,Hombre,Buena
Chaqueta,Caballero,Verde,Deportivo,Marca A,999.63,30,11,19,Ciencias Sociales y Humanidades,Hombre,Mala
Falda,Caballero,Rojo,Deportivo,Marca C,1977.41,43,48,54,Ingeniería,HombreMujer,Regular
Pantalón,Caballero,Azul,Formal,Marca D,1190.55,36,45,64,Educación,Mujer,Mala
Camisa,Dama,Azul,Deportivo,Marca D,1285.68,41,4,60,Ciencias Sociales y Humanidades,Hombre,Regular
Vestido,Caballero,Verde,Deportivo,Marca D,943.17,46,3,18,Ciencias Sociales y Humanidades,Mujer,Mala
Falda,Dama,Rojo,Deportivo,Marca D,1597.29,36,31,30,Ingeniería,Mujer,Mala
Pantalón,Caballero,Amarillo,Casual,Marca B,1865.26,39,23,52,Educación,HombreMujer,Mala
Camisa,Dama,Blanco,Casual,Marca A,1304.43,38,8,68,Artes,HombreMujer,Mala
Otros,Caballero,Negro,Formal,Marca C,1998.41,31,30,27,Educación,Mujer,Regular
Vestido,Caballero,Amarillo,Casual,Marca B,1809.63,33,5,35,Medicina,Hombre,Mala
Vestido,Dama,Verde,Casual,Marca D,1801.51,29,9,63,Medicina,Hombre,Buena
Vestido,Caballero,Negro,Formal,Marca D,1909.1,39,15,45,Educación,Mujer,Buena
Camisa,Dama,Rojo,Formal,Marca A,1750.46,28,34,59,Educación,Hombre,Mala
Camisa,Caballero,Blanco,Formal,Marca A,1316.93,41,4,21,Educación,HombreMujer,Mala
Vestido,Caballero,Rojo,Formal,Marca B,1183.49,30,49,34,Ciencias Sociales y Humanidades,Mujer,Mala
Falda,Dama,Azul,Deportivo,Marca B,1308.13,46,3,69,Ciencias Sociales y Humanidades,Hombre,Buena
Chaqueta,Caballero,Azul,Deportivo,Marca D,1531.56,38,42,39,Artes,Hombre,Mala
Chaqueta,Dama,Amarillo,Casual,Marca A,1225.55,39,30,28,Artes,Mujer,Mala
Pantalón,Caballero,Negro,Formal,Marca C,1718.14,34,26,32,Artes,Mujer,Regular
Vestido,Caballero,Blanco,Formal,Marca D,735.28,46,47,19,Medicina,Mujer,Regular
Camisa,Caballero,Negro,Deportivo,Marca C,1042.32,29,21,61,Ciencias Sociales y Humanidades,HombreMujer,Buena
Falda,Dama,Negro,Formal,Marca D,1293.39,46,13,41,Artes,Hombre,Buena
Camisa,Caballero,Rojo,Casual,Marca B,807.79,31,37,61,Medicina,Mujer,Regular
Camisa,Caballero,Azul,Casual,Marca A,1636.99,38,20,66,Ingeniería,Mujer,Buena
Vestido,Dama,Azul,Deportivo,Marca A,1339.38,44,40,41,Ciencias Sociales y Humanidades,HombreMujer,Mala
Camisa,Caballero,Amarillo,Casual,Marca B,1705.18,42,50,29,Educación,Hombre,Buena
Pantalón,Caballero,Blanco,Formal,Marca A,884.21,43,42,47,Medicina,Hombre,Mala
Pantalón,Caballero,Negro,Deportivo,Marca A,1048.39,42,35,64,Artes,Mujer,Regular
Falda,Dama,Blanco,Casual,Marca B,1780.7,40,5,54,Ciencias Sociales y Humanidades,Hombre,Buena
Falda,Caballero,Negro,Formal,Marca B,814.97,38,18,26,Educación,HombreMujer,Regular
Pantalón,Caballero,Negro,Formal,Marca D,597.87,28,40,60,Artes,Hombre,Regular
Camisa,Dama,Verde,Casual,Marca B,890.41,45,37,32,Medicina,Hombre,Buena
Pantalón,Caballero,Blanco,Formal,Marca C,1065.36,40,38,56,Medicina,HombreMujer,Regular
Falda,Caballero,Verde,Formal,Marca C,1713.68,29,10,60,Educación,Mujer,Mala
Chaqueta,Dama,Azul,Formal,Marca D,627.11,43,36,27,Ciencias Sociales y Humanidades,HombreMujer,Buena
Vestido,Caballero,Blanco,Casual,Marca A,1146.36,33,31,31,Medicina,Hombre,Regular
Falda,Dama,Azul,Casual,Marca D,630.78,30,15,59,Ingeniería,Hombre,Mala
Falda,Dama,Verde,Deportivo,Marca D,1497.76,32,36,70,Ingeniería,Mujer,Regular
Chaqueta,Dama,Blanco,Formal,Marca D,1418.49,39,22,29,Ciencias Sociales y Humanidades,Mujer,Regular
Otros,Dama,Verde,Deportivo,Marca D,558.39,32,13,31,Ciencias Sociales y Humanidades,HombreMujer,Regular
Otros,Caballero,Negro,Casual,Marca A,765.79,38,21,33,Ingeniería,Mujer,Mala
Pantalón,Dama,Rojo,Deportivo,Marca A,633.72,46,29,47,Artes,Hombre,Mala
Otros,Dama,Rojo,Deportivo,Marca D,1702.73,28,19,47,Medicina,Mujer,Buena
Camisa,Caballero,Blanco,Casual,Marca D,1328.87,44,19,46,Educación,Hombre,Buena
Vestido,Caballero,Rojo,Formal,Marca C,601.46,42,2,42,Ciencias Sociales y Humanidades,Hombre,Buena
Camisa,Dama,Blanco,Formal,Marca C,719.4,32,23,29,Ingeniería,HombreMujer,Regular
Otros,Dama,Verde,Formal,Marca C,1722.58,38,24,27,Artes,Hombre,Buena
Vestido,Caballero,Amarillo,Formal,Marca A,679.17,42,1,26,Ingeniería,HombreMujer,Buena
Pantalón,Caballero,Verde,Casual,Marca B,1647.12,36,29,32,Artes,Hombre,Mala
Vestido,Caballero,Amarillo,Deportivo,Marca B,886.14,35,35,37,Artes,Hombre,Regular
Pantalón,Caballero,Amarillo,Casual,Marca C,649.93,46,47,67,Medicina,HombreMujer,Buena
Camisa,Dama,Rojo,Deportivo,Marca A,667.7,38,33,43,Artes,Hombre,Mala
Pantalón,Caballero,Amarillo,Casual,Marca C,776.65,43,31,46,Ciencias Sociales y Humanidades,Mujer,Buena
Pantalón,Dama,Negro,Deportivo,Marca B,1515.06,43,48,65,Ingeniería,Hombre,Regular
Otros,Caballero,Negro,Casual,Marca D,1443.77,31,1,68,Educación,HombreMujer,Buena
Pantalón,Dama,Rojo,Formal,Marca A,672.27,37,0,37,Educación,Hombre,Regular
Pantalón,Caballero,Blanco,Deportivo,Marca A,740.25,34,44,34,Ciencias Sociales y Humanidades,Mujer,Regular
Falda,Dama,Verde,Deportivo,Marca C,1861.27,36,20,45,Ciencias Sociales y Humanidades,HombreMujer,Buena
Otros,Caballero,Rojo,Deportivo,Marca C,570.89,34,39,33,Medicina,HombreMujer,Mala
Vestido,Dama,Negro,Deportivo,Marca D,1616.5,33,6,51,Ciencias Sociales y Humanidades,Mujer,Regular
Pantalón,Caballero,Verde,Deportivo,Marca D,868.99,31,44,41,Educación,HombreMujer,Buena
Pantalón,Dama,Amarillo,Deportivo,Marca D,1491.84,28,39,57,Medicina,Mujer,Buena
Vestido,Dama,Verde,Casual,Marca A,976.83,46,29,64,Medicina,Hombre,Regular
Chaqueta,Caballero,Amarillo,Deportivo,Marca D,649.65,30,9,50,Artes,Mujer,Mala
Pantalón,Caballero,Amarillo,Formal,Marca B,1541.68,36,1,41,Artes,Mujer,Regular
Falda,Caballero,Rojo,Deportivo,Marca D,1033.14,39,16,64,Artes,Mujer,Mala
Falda,Dama,Negro,Formal,Marca D,1555.82,35,10,47,Educación,HombreMujer,Mala
Otros,Dama,Rojo,Deportivo,Marca A,929.98,40,23,31,Educación,Hombre,Buena
Pantalón,Caballero,Verde,Deportivo,Marca B,624.22,39,50,57,Medicina,HombreMujer,Mala
Chaqueta,Caballero,Azul,Casual,Marca B,1005.74,42,15,32,Medicina,Mujer,Regular
Vestido,Caballero,Amarillo,Formal,Marca D,895.62,46,21,28,Ciencias Sociales y Humanidades,Hombre,Mala
Otros,Caballero,Amarillo,Casual,Marca D,1168.44,30,28,32,Medicina,Mujer,Buena
Falda,Caballero,Azul,Casual,Marca D,1677.26,28,23,63,Medicina,Mujer,Buena
Pantalón,Caballero,Blanco,Formal,Marca A,1605.69,32,46,23,Educación,HombreMujer,Mala
Falda,Dama,Negro,Deportivo,Marca A,870.4,34,22,29,Educación,HombreMujer,Regular
Falda,Caballero,Negro,Formal,Marca D,587.81,43,33,26,Ciencias Sociales y Humanidades,HombreMujer,Mala
Falda,Caballero,Azul,Casual,Marca C,1352.58,40,0,20,Medicina,Mujer,Buena
Camisa,Dama,Verde,Formal,Marca D,531.62,46,17,39,Ciencias Sociales y Humanidades,Hombre,Mala
Otros,Caballero,Rojo,Casual,Marca B,1735.73,34,9,53,Educación,Mujer,Mala
Otros,Caballero,Verde,Deportivo,Marca A,1979.87,44,16,32,Ingeniería,HombreMujer,Regular
Otros,Caballero,Azul,Formal,Marca D,1062.88,29,40,49,Ingeniería,Hombre,Regular
Pantalón,Dama,Azul,Formal,Marca D,1734.41,28,47,49,Medicina,Mujer,Buena
Pantalón,Caballero,Rojo,Casual,Marca C,1310.15,45,46,38,Ciencias Sociales y Humanidades,Hombre,Mala
Chaqueta,Dama,Negro,Deportivo,Marca B,723.68,39,3,63,Artes,HombreMujer,Mala
Vestido,Caballero,Amarillo,Deportivo,Marca C,1567.75,38,10,45,Ingeniería,HombreMujer,Buena
Chaqueta,Dama,Amarillo,Deportivo,Marca C,1877.05,36,15,45,Medicina,HombreMujer,Buena
Camisa,Dama,Azul,Deportivo,Marca C,1826.48,40,11,64,Ciencias Sociales y Humanidades,Mujer,Buena
Pantalón,Dama,Blanco,Deportivo,Marca C,574.14,38,13,23,Artes,HombreMujer,Buena
Pantalón,Dama,Azul,Deportivo,Marca C,680.09,41,40,68,Medicina,HombreMujer,Buena
Falda,Caballero,Blanco,Formal,Marca A,1459.61,34,44,44,Medicina,Mujer,Mala
Falda,Dama,Azul,Formal,Marca B,971.8,41,4,63,Educación,Hombre,Mala
Otros,Dama,Amarillo,Deportivo,Marca A,1676.48,45,11,23,Ciencias Sociales y Humanidades,HombreMujer,Regular
Chaqueta,Dama,Amarillo,Casual,Marca A,1904.62,28,1,36,Artes,HombreMujer,Buena
Falda,Caballero,Negro,Formal,Marca C,1507.42,36,45,45,Ciencias Sociales y Humanidades,Mujer,Mala
Vestido,Caballero,Verde,Deportivo,Marca D,1210.86,46,28,54,Ingeniería,Hombre,Regular
Falda,Caballero,Rojo,Formal,Marca A,1091.99,44,8,60,Ingeniería,HombreMujer,Buena
Pantalón,Caballero,Rojo,Casual,Marca B,1259.62,41,5,40,Ciencias Sociales y Humanidades,Mujer,Regular
Otros,Dama,Blanco,Casual,Marca B,1324.86,39,46,31,Ingeniería,Hombre,Buena
Chaqueta,Caballero,Azul,Casual,Marca A,817.79,38,25,66,Artes,Hombre,Mala
Otros,Dama,Rojo,Formal,Marca C,1195.4,33,37,41,Ciencias Sociales y Humanidades,HombreMujer,Buena
Camisa,Dama,Negro,Deportivo,Marca B,1039.65,45,38,55,Artes,HombreMujer,Buena
Pantalón,Caballero,Rojo,Deportivo,Marca A,1396.36,39,22,31,Ingeniería,Mujer,Buena
Falda,Caballero,Verde,Casual,Marca A,1344.64,36,38,40,Ciencias Sociales y Humanidades,HombreMujer,Mala
Vestido,Dama,Blanco,Casual,Marca C,1428.89,34,18,45,Educación,Mujer,Regular
Vestido,Caballero,Rojo,Formal,Marca A,1479.65,31,17,20,Educación,Mujer,Regular
Vestido,Caballero,Rojo,Deportivo,Marca D,1605.98,40,30,42,Educación,HombreMujer,Mala
Chaqueta,Dama,Azul,Casual,Marca A,1239.83,34,9,70,Ciencias Sociales y Humanidades,HombreMujer,Regular
Camisa,Dama,Rojo,Deportivo,Marca D,939.26,36,28,36,Artes,Mujer,Regular
Pantalón,Dama,Verde,Formal,Marca D,1990.59,43,45,53,Educación,Mujer,Mala
Pantalón,Dama,Verde,Deportivo,Marca D,1255.3,40,0,19,Educación,Hombre,Regular
Otros,Caballero,Verde,Casual,Marca C,1293.96,35,9,57,Ciencias Sociales y Humanidades,Hombre,Regular
Pantalón,Dama,Blanco,Casual,Marca D,1915.06,39,26,69,Ingeniería,HombreMujer,Regular
Camisa,Caballero,Rojo,Casual,Marca D,1143.72,43,32,23,Educación,Hombre,Regular
Vestido,Dama,Amarillo,Formal,Marca D,723.15,32,35,60,Ingeniería,Mujer,Regular
Pantalón,Dama,Verde,Formal,Marca A,1097.17,34,3,40,Ciencias Sociales y Humanidades,HombreMujer,Regular
Vestido,Caballero,Rojo,Formal,Marca D,1811.36,34,7,45,Ingeniería,Hombre,Regular
Vestido,Caballero,Negro,Deportivo,Marca C,1126.79,43,28,46,Medicina,Mujer,Buena
Vestido,Dama,Amarillo,Deportivo,Marca C,1582.55,38,49,49,Ingeniería,Hombre,Buena
Pantalón,Dama,Negro,Formal,Marca D,529.19,32,22,34,Ingeniería,Mujer,Mala
Camisa,Caballero,Verde,Deportivo,Marca B,632.65,29,9,48,Ciencias Sociales y Humanidades,Mujer,Buena
Otros,Caballero,Blanco,Deportivo,Marca C,669.04,32,2,53,Ciencias Sociales y Humanidades,Mujer,Regular
Camisa,Dama,Negro,Casual,Marca A,1659.55,38,49,32,Ingeniería,Hombre,Mala
Vestido,Dama,Negro,Formal,Marca B,1099.66,31,8,57,Ingeniería,Hombre,Mala
Pantalón,Caballero,Negro,Deportivo,Marca A,786.18,39,17,68,Educación,HombreMujer,Regular
Otros,Dama,Negro,Formal,Marca B,908.45,44,42,49,Ingeniería,Hombre,Buena
Pantalón,Caballero,Azul,Casual,Marca C,913.7,35,1,32,Ciencias Sociales y Humanidades,Mujer,Mala
Camisa,Dama,Negro,Formal,Marca C,1536.66,42,50,41,Medicina,Mujer,Mala
Falda,Dama,Negro,Deportivo,Marca C,869.12,41,32,62,Educación,Hombre,Regular
Vestido,Dama,Azul,Casual,Marca A,977.05,46,49,47,Ingeniería,HombreMujer,Regular
Pantalón,Dama,Blanco,Casual,Marca D,1113.81,41,14,33,Medicina,Mujer,Buena
Camisa,Dama,Blanco,Formal,Marca B,585.66,44,34,37,Artes,Hombre,Regular
Falda,Dama,Azul,Casual,Marca A,862.64,38,38,48,Artes,Mujer,Regular
